Lat,Lon,Elev,D13C
22.05,-159.533,626.7,19.52834608
19.77,-155.93,626.9,19.59802944
19.82,-155.93,197,19.54094593
19.68,-155.2,714.5,21.99059258
55.208045,-132.82281,24,17.48588383
55.032989,-132.594249,24.5,17.30228249
55.478013,-131.790577,0,16.91678897
52.149914,-128.11656,85.3,16.84093303
51.680469,-127.225075,15.5,20.9499564
42.12194,-124.19668,33.4,22.46926927
42.12092,-124.19652,29.7,21.13383424
42.11937,-124.19595,21.8,21.62139131
41.10152,-124.15422,94.2,23.46901448
40.35,-124,81.1,24.91411049
41.05508,-123.88755,448.2,22.05193696
47.8,-123.7,2202.5,21.87536711
45.133,-123.633,280,19.05992395
39.34855,-123.54221,104.4,24.40239104
39.38271,-123.4797,453.8,21.23059108
39.39301,-123.46055,517.1,20.71762015
48.4286,-123.3655278,19.3,19.00949546
49.254,-123.2508472,73,21.97136639
44.0402,-123.14,136.5,21.25377555
44.0474,-123.14,123.3,22.26481745
44.0402,-123.078599,143.8,21.37522447
41.8681,-123.076886,979.6,21.38745314
48.598352,-123.024056,4.4,19.99482845
48.589814,-123.013777,6.3,18.77567591
38.4,-122.983,239.8,16.21345786
47.026961,-122.939405,40.7,20.29877926
47.649165,-122.934542,4.8,17.37253486
48.747889,-122.841885,7.8,19.88014781
47.066316,-122.833677,48.5,21.08117837
44.9949,-122.792222,106.6,21.65728604
48.612822,-122.614044,7.9,18.97663387
38.2618,-122.4580083,13,20.66581173
45.665628,-122.41334,143.7,18.26929437
37.8764,-122.282651,32.5,20.26933685
37.8834,-122.259225,185.3,21.03340087
37.8617,-122.2547722,79.6,21.38410843
38.6268,-122.2547722,134.9,21.12161568
37.167,-122.233,394.2,17.19417929
37.25625,-122.21931,155.7,21.39263292
37.25362,-122.21835,129.9,22.0877369
37.25355,-122.21803,127.5,21.8393399
48.154409,-122.164797,38.2,18.00039368
48.194862,-122.127144,35,20.06637667
37.00082,-122.06189,250.2,19.8654074
37.01,-122.06,284,20.59050245
36.99752,-122.05316,221.4,21.80454232
36.9996,-122.05296,235.1,21.43246189
46.033211,-121.838628,1131.1,18.38895955
38.5396,-121.750651,16,19.5505692
38.5371,-121.750651,17.1,19.49417571
