Site,Lat,Lon,PFT,Year,D13C_gpp,D13C_gs,D13C_6-8,Discr_mod,Stom_mod,beta_stress,Obs
76,22.05,-159.533,BET,1992,NA,23.63963734,23.47819936,simple,Jacobs,0,19.52834608
77,19.77,-155.93,BET,2007,23.92568043,23.90863476,23.72621734,simple,Jacobs,0.92773958,19.94081967
77,19.77,-155.93,BET,2002,23.96383884,23.91910031,23.84968881,simple,Jacobs,0.978204687,20.62969441
77,19.77,-155.93,BET,2002,23.96383884,23.91910031,23.84968881,simple,Jacobs,0.978204687,19.57539534
77,19.77,-155.93,BET,2002,23.96383884,23.91910031,23.84968881,simple,Jacobs,0.978204687,18.24620833
78,19.82,-155.93,BET,2007,23.92568043,23.90863476,23.72621734,simple,Jacobs,0.92773958,19.54094593
79,19.68,-155.2,BET,2007,23.89243512,23.8560674,23.68814219,simple,Jacobs,0.779397726,21.99059258
80,55.208045,-132.82281,NET,1979,23.81559098,23.9994135,23.67889908,simple,Jacobs,0.999443233,17.48588383
81,55.032989,-132.594249,NET,1990,23.71704044,23.95759998,23.52164381,simple,Jacobs,0.99526906,17.30228249
82,55.478013,-131.790577,NET,1982,23.73088735,23.97557742,23.55203675,simple,Jacobs,0.992442091,16.91678897
83,52.149914,-128.11656,NET,1987,23.68943069,23.89369156,23.43082378,simple,Jacobs,0.999077141,16.84093303
84,51.680469,-127.225075,NET,1989,23.68375424,23.80399749,23.6129717,simple,Jacobs,0.998718282,20.9499564
85,42.12194,-124.19668,NET,2016,23.14981738,23.50911136,22.65092289,simple,Jacobs,0.825833102,22.46926927
86,42.12092,-124.19652,NET,2016,23.14981738,23.50911136,22.65092289,simple,Jacobs,0.825833102,21.13383424
87,42.11937,-124.19595,NET,2016,23.14981738,23.50911136,22.65092289,simple,Jacobs,0.825833102,21.62139131
88,41.10152,-124.15422,NET,2016,23.05756873,23.42044232,22.40138396,simple,Jacobs,0.774860601,23.46901448
89,40.35,-124,NET,2014,23.13221637,23.26858057,22.68774985,simple,Jacobs,0.777123372,23.91077716
89,40.35,-124,BET,2014,23.94919176,24.03420975,23.68920075,simple,Jacobs,0.786775092,25.22077716
89,40.35,-124,BET,2014,23.94919176,24.03420975,23.68920075,simple,Jacobs,0.786775092,25.61077716
90,41.05508,-123.88755,NET,2016,22.99905611,23.47946147,22.23274719,simple,Jacobs,0.793593109,22.05193696
91,47.8,-123.7,BET,1988,24.21841096,24.36424887,24.0242179,simple,Jacobs,0.988235394,21.87536711
92,45.133,-123.633,NET,2004,23.37853948,23.63338911,22.87524737,simple,Jacobs,0.911824365,25.99980987
92,45.133,-123.633,NET,2004,23.37853948,23.63338911,22.87524737,simple,Jacobs,0.911824365,16
92,45.133,-123.633,NET,2004,23.37853948,23.63338911,22.87524737,simple,Jacobs,0.911824365,13.6
