Lat,Lon,Elev,Type,Leaf_phenol,LeafType,Year,D13C,CO2_ppm,PFT,Site,categ,Proxy,group,D13Cstd
58.4,-156.1,102,G,2,2,1979,19.36585742,336.1,NET,1,4,TR,constant,-0.488309093
58.4,-156.1,102,G,2,2,1980,19.88730777,337.74,NET,1,4,TR,constant,0.033141251
58.4,-156.1,102,G,2,2,1981,19.62701927,339.37,NET,1,4,TR,constant,-0.227147248
58.4,-156.1,102,G,2,2,1982,19.63254064,340.78,NET,1,4,TR,constant,-0.22162588
58.4,-156.1,102,G,2,2,1983,20.31101739,342.2,NET,1,4,TR,constant,0.456850872
58.4,-156.1,102,G,2,2,1984,20.1029562,343.79,NET,1,4,TR,constant,0.248789681
58.4,-156.1,102,G,2,2,1985,20.05246693,345.27,NET,1,4,TR,constant,0.198300418
58.4,-156.1,102,G,2,2,1986,20.54799231,346.67,NET,1,4,TR,constant,0.69382579
58.4,-156.1,102,G,2,2,1987,21.22740105,348.31,NET,1,4,TR,constant,1.373234538
58.4,-156.1,102,G,2,2,1988,20.31328451,350.35,NET,1,4,TR,constant,0.459117989
58.4,-156.1,102,G,2,2,1989,19.73845662,352.31,NET,1,4,TR,constant,-0.115709898
58.4,-156.1,102,G,2,2,1990,20.27364169,353.78,NET,1,4,TR,constant,0.419475176
58.4,-156.1,102,G,2,2,1991,22.61791356,355,NET,1,4,TR,constant,2.763747041
58.4,-156.1,102,G,2,2,1992,20.00220278,355.93,NET,1,4,TR,constant,0.148036267
58.4,-156.1,102,G,2,2,1993,21.40157634,356.71,NET,1,4,TR,constant,1.547409823
58.4,-156.1,102,G,2,2,1994,19.85671636,357.95,NET,1,4,TR,constant,0.002549847
58.4,-156.1,102,G,2,2,1995,19.60897512,359.75,NET,1,4,TR,constant,-0.245191393
58.4,-156.1,102,G,2,2,1996,19.72943721,361.59,NET,1,4,TR,constant,-0.124729311
58.4,-156.1,102,G,2,2,1997,20.0606554,363.19,NET,1,4,TR,constant,0.206488881
58.4,-156.1,102,G,2,2,1998,20.78467839,365.2,NET,1,4,TR,constant,0.930511874
58.4,-156.1,102,G,2,2,1999,19.87602904,367.41,NET,1,4,TR,constant,0.02186252
58.4,-156.1,102,G,2,2,2000,20.18823387,368.92,NET,1,4,TR,constant,0.334067358
58.4,-156.1,102,G,2,2,2001,19.87038148,370.35,NET,1,4,TR,constant,0.016214969
58.4,-156.1,102,G,2,2,2002,19.65726715,372.17,NET,1,4,TR,constant,-0.19689937
58.4,-156.1,102,G,2,2,2003,20.06955886,374.44,NET,1,4,TR,constant,0.215392347
58.4,-156.1,102,G,2,2,2004,20.15542396,376.65,NET,1,4,TR,constant,0.30125744
58.4,-156.1,102,G,2,2,2005,19.59999091,378.69,NET,1,4,TR,constant,-0.254175602
58.4,-156.1,102,G,2,2,2006,19.8379134,380.83,NET,1,4,TR,constant,-0.016253121
58.4,-156.1,102,G,2,2,2007,19.93039195,382.8,NET,1,4,TR,constant,0.076225438
58.4,-156.1,102,G,2,2,2008,19.66033718,384.65,NET,1,4,TR,constant,-0.19382934
58.49,-155.7,75,G,2,2,1979,18.49689563,336.1,NET,2,4,TR,constant,-0.219120359
58.49,-155.7,75,G,2,2,1980,18.38356907,337.74,NET,2,4,TR,constant,-0.332446927
58.49,-155.7,75,G,2,2,1981,18.68389008,339.37,NET,2,4,TR,constant,-0.032125915
58.49,-155.7,75,G,2,2,1982,18.63376113,340.78,NET,2,4,TR,constant,-0.082254862
58.49,-155.7,75,G,2,2,1983,18.74097166,342.2,NET,2,4,TR,constant,0.024955669
58.49,-155.7,75,G,2,2,1984,19.00330827,343.79,NET,2,4,TR,constant,0.28729228
58.49,-155.7,75,G,2,2,1985,19.06971611,345.27,NET,2,4,TR,constant,0.353700114
58.49,-155.7,75,G,2,2,1986,19.07542906,346.67,NET,2,4,TR,constant,0.359413063
58.49,-155.7,75,G,2,2,1987,18.81864371,348.31,NET,2,4,TR,constant,0.102627716
58.49,-155.7,75,G,2,2,1988,18.94089654,350.35,NET,2,4,TR,constant,0.224880544
58.49,-155.7,75,G,2,2,1989,18.96505247,352.31,NET,2,4,TR,constant,0.249036474
58.49,-155.7,75,G,2,2,1990,18.89544507,353.78,NET,2,4,TR,constant,0.179429078
58.49,-155.7,75,G,2,2,1991,18.78280309,355,NET,2,4,TR,constant,0.066787101
58.49,-155.7,75,G,2,2,1992,18.72227328,355.93,NET,2,4,TR,constant,0.00625729
58.49,-155.7,75,G,2,2,1993,18.50895441,356.71,NET,2,4,TR,constant,-0.207061585
58.49,-155.7,75,G,2,2,1994,18.44716821,357.95,NET,2,4,TR,constant,-0.26884778
58.49,-155.7,75,G,2,2,1995,18.33804606,359.75,NET,2,4,TR,constant,-0.377969932
58.49,-155.7,75,G,2,2,1996,18.05724156,361.59,NET,2,4,TR,constant,-0.658774435
