Site,Mean,Median,Slope,Pval,IAV,Type
1,20.13292082,19.96629737,-0.004787389,0.592490181,0.6540929,TR
2,18.76612323,18.71356098,0.008222189,0.408214895,0.385220209,TR
3,19.33836623,19.34225379,0.009494977,0.271287116,0.424470643,TR
4,19.06784576,19.16660623,0.017928676,0.453662366,0.782831028,TR
5,19.66949693,19.66702254,0.009147574,0.077128904,0.327209967,TR
6,18.7877744,18.8105966,0.005389784,0.426842609,0.332416005,TR
7,19.00966137,19.01766629,0.012883107,0.110117954,0.336190449,TR
8,17.95614753,17.92228993,0.064741153,1.14E-07,0.411382404,TR
9,19.5563255,19.46157008,-0.004739977,0.441845503,0.336530668,TR
10,19.06651127,19.07980372,0.061335279,1.95E-06,0.467729634,TR
11,21.18077586,21.12622006,-0.013279254,0.172615162,0.412199616,TR
12,20.58298043,20.51909822,-0.017181587,0.046980561,0.516644166,TR
13,20.53865192,20.48815816,-2.65E-05,0.976347077,0.286546609,TR
14,20.26948012,20.18685588,-0.007625435,0.057758189,0.330575995,TR
15,16.86608519,16.90806651,-0.005850872,0.802761792,0.578275477,TR
16,17.0183066,16.96300206,-0.008536593,0.342740466,0.397265223,TR
17,17.81617308,17.79800385,-0.033325876,0.005827257,0.693425041,TR
18,17.14921222,17.10874292,-0.017160882,0.123136276,0.536724737,TR
19,16.71050609,16.76003331,-0.008719506,0.614239542,0.836477404,TR
20,17.68331284,17.69227428,0.008232997,0.259887237,0.400040775,TR
21,17.41979347,17.39641947,0.033764699,0.006974724,0.628165649,TR
22,17.28337405,17.14434638,-0.00405391,0.709164504,0.561194315,TR
23,16.69660361,16.69126648,-0.002177277,0.709164504,0.426827089,TR
24,16.57117145,16.52985735,-0.014911337,0.094861077,0.326869502,TR
25,17.32736802,17.15910294,-0.032521565,0.04378698,0.885605801,TR
26,18.07761525,18.16594748,0.007218851,0.373752366,0.754682909,TR
27,17.06514247,16.78480326,-0.026299854,0.247555778,0.936046148,TR
28,17.84256898,17.93245661,0.008699901,0.458558746,0.470486099,TR
29,18.53979102,18.64770378,-0.02276076,0.04378698,0.625952267,TR
30,17.80382903,17.70566089,-0.017537361,0.406443338,0.732036465,TR
31,18.12143786,18.22540018,-0.011440878,0.085498733,0.393386304,TR
32,17.23602856,17.34207788,-0.016518927,0.109368087,0.535739171,TR
33,16.76943774,16.83122115,-0.066641915,0.000998225,1.021693633,TR
34,16.87052236,17.2000993,-0.058135138,0.002493028,0.885236083,TR
35,18.5146101,18.71930907,-0.023575472,0.040778692,0.637006233,TR
36,20.17550041,20.1759482,-0.020503977,0.040778692,0.501937063,TR
37,20.67876128,20.78766736,0.007875897,0.566446142,0.640595933,TR
38,19.55514735,19.59484072,0.005335867,0.678080109,0.564970494,TR
39,22.03754713,22.01883206,0.041632229,3.77E-05,0.436825548,TR
40,23.71649731,23.86591719,-0.012725465,0.202343887,0.546769001,TR
41,21.03853702,21.01925149,0.034999438,0.001108723,0.494151527,TR
42,21.28206949,21.27561711,0.021325671,0.013860537,0.467858095,TR
43,18.43024157,18.5698495,-0.011085651,0.573210979,1.270377414,TR
44,23.23516527,23.29755404,-0.04061282,0.000724929,0.529180144,TR
45,21.23739997,21.31844824,-0.001447304,0.812508546,0.446031012,TR
46,20.42176333,20.47240959,0.017992506,0.003665604,0.361520769,TR
47,18.43996547,18.39263317,0.034079132,0.001851125,0.61648367,TR
48,19.08872062,19.07110318,0.016491343,0.13051015,0.599759489,TR
49,18.48089833,18.41980637,0.021030906,0.074406914,0.498104666,TR
50,17.78803034,17.78833542,-0.010027804,0.099826764,0.273532139,TR
51,23.1483305,22.93512265,0.072285405,2.04E-09,0.272635902,TR
